Risk,Outcome,Category_Units,Morbidity_Mortality,Sex,All-age,0-6 days,7-27 days,28-364 days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95+ years
Unsafe water source,Diarrhoeal diseases,"Unimproved, untreated",Both,Both,11.084,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Unimproved, chlorinated",Both,Both,8.024,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Unimproved, filter",Both,Both,5.331,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Improved, untreated",Both,Both,8.986,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Improved, chlorinated",Both,Both,6.505,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Improved, filtered",Both,Both,4.322,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Piped, untreated",Both,Both,6.88,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Piped, chlorinated",Both,Both,4.98,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"Piped, filtered",Both,Both,3.309,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"High quality (HQ) piped, untreated",Both,Both,2.079,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"HQ piped, chlorinated",Both,Both,1.505,,,,,,,,,,,,,,,,,,,,,,,
Unsafe water source,Diarrhoeal diseases,"HQ piped, filtered",Both,Both,1.0,,,,,,,,,,,,,,,,,,,,,,,
Unsafe sanitation,Diarrhoeal diseases,Unimproved & untreated,Both,Both,3.203,,,,,,,,,,,,,,,,,,,,,,,
Unsafe sanitation,Diarrhoeal diseases,Improved,Both,Both,2.465,,,,,,,,,,,,,,,,,,,,,,,
Unsafe sanitation,Diarrhoeal diseases,Sewer,Both,Both,1.0,,,,,,,,,,,,,,,,,,,,,,,
No access to handwashing facility,Lower respiratory infections,No handwashing w/soap & water,Both,Both,1.321,,,,,,,,,,,,,,,,,,,,,,,
No access to handwashing facility,Lower respiratory infections,Handwashing w/soap & water,Both,Both,1.0,,,,,,,,,,,,,,,,,,,,,,,
No access to handwashing facility,Diarrhoeal diseases,No handwashing w/soap & water,Both,Both,1.522,,,,,,,,,,,,,,,,,,,,,,,
No access to handwashing facility,Diarrhoeal diseases,Handwashing w/soap & water,Both,Both,1.0,,,,,,,,,,,,,,,,,,,,,,,
Ambient ozone pollution,Chronic obstructive pulmonary disease,10 ppb,Mortality,Both,1.063,,,,,,,,,,,,,,,,,,,,,,,
Residential radon,"Tracheal, bronchus, and lung cancer",100 Bq/m3,Both,Both,1.097,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,2 µg/dL,Morbidity,Both,0.0,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,4 µg/dL,Morbidity,Both,3.146,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,6 µg/dL,Morbidity,Both,3.804,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,8 µg/dL,Morbidity,Both,4.296,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,10 µg/dL,Morbidity,Both,4.688,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,12 µg/dL,Morbidity,Both,5.014,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,15 µg/dL,Morbidity,Both,5.42,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,20 µg/dL,Morbidity,Both,5.952,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,25 µg/dL,Morbidity,Both,6.37,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,30 µg/dL,Morbidity,Both,6.713,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,35 µg/dL,Morbidity,Both,7.006,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in blood,IQ shift,40 µg/dL,Morbidity,Both,7.26,,,,,,,,,,,,,,,,,,,,,,,
Lead exposure in bone,Rheumatic heart disease,10 µg/g,Both,Both,,,,,,,,,,1.03,1.024,1.017,1.013,1.012,1.011,1.01,1.009,1.008,1.007,1.007,1.006,1.006,1.006,1.006
Lead exposure in bone,Ischaemic heart disease,10 µg/g,Both,Both,,,,,,,,,,1.042,1.037,1.032,1.028,1.026,1.024,1.023,1.021,1.019,1.018,1.016,1.014,1.014,1.014,1.014
Lead exposure in bone,Ischaemic stroke,10 µg/g,Both,Both,,,,,,,,,,1.038,1.036,1.033,1.03,1.028,1.026,1.024,1.021,1.019,1.017,1.015,1.011,1.011,1.011,1.011
Lead exposure in bone,Intracerebral hemorrhage,10 µg/g,Both,Both,,,,,,,,,,1.047,1.045,1.042,1.039,1.036,1.032,1.028,1.024,1.02,1.017,1.017,1.015,1.015,1.015,1.015
Lead exposure in bone,Subarachnoid hemorrhage,10 µg/g,Both,Both,,,,,,,,,,1.047,1.045,1.042,1.039,1.036,1.032,1.028,1.024,1.02,1.017,1.017,1.015,1.015,1.015,1.015
Lead exposure in bone,Hypertensive heart disease,10 µg/g,Both,Both,,,,,,,,,,1.066,1.066,1.065,1.063,1.058,1.052,1.046,1.04,1.033,1.03,1.031,1.033,1.033,1.033,1.033
Lead exposure in bone,Non-rheumatic calcific aortic valve disease,10 µg/g,Both,Both,,,,,,,,,,1.035,1.029,1.023,1.019,1.018,1.016,1.015,1.014,1.012,1.011,1.01,1.007,1.007,1.007,1.007
Lead exposure in bone,Other cardiomyopathy,10 µg/g,Both,Both,,,,,,,,,,1.035,1.029,1.023,1.019,1.018,1.016,1.015,1.014,1.012,1.011,1.01,1.007,1.007,1.007,1.007
Lead exposure in bone,Atrial fibrillation and flutter,10 µg/g,Both,Both,,,,,,,,,,1.035,1.03,1.025,1.022,1.02,1.019,1.018,1.016,1.015,1.013,1.012,1.008,1.008,1.008,1.008
Lead exposure in bone,Aortic aneurysm,10 µg/g,Both,Both,,,,,,,,,,1.027,1.024,1.02,1.018,1.017,1.016,1.015,1.014,1.012,1.011,1.01,1.007,1.007,1.007,1.007
Lead exposure in bone,Peripheral vascular disease,10 µg/g,Both,Both,,,,,,,,,,1.034,1.025,1.014,1.008,1.008,1.008,1.009,1.009,1.009,1.009,1.008,1.006,1.006,1.006,1.006
Lead exposure in bone,Endocarditis,10 µg/g,Both,Both,,,,,,,,,,1.035,1.029,1.023,1.019,1.018,1.016,1.015,1.014,1.012,1.011,1.01,1.007,1.007,1.007,1.007
Lead exposure in bone,Chronic kidney disease due to diabetes mellitus type 1,10 µg/g,Both,Both,,,,,,,,,,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015
Lead exposure in bone,Chronic kidney disease due to diabetes mellitus type 2,10 µg/g,Both,Both,,,,,,,,,,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015
